Title,Body,Vendor,Product Category,Type,Tags,Published,Size,Variant SKU,Variant Inventory Tracker,Variant Price,Image Src,Cost per item,, 
Upright Row-N-Ride® Rowing Machine,"60, and 90 degree seat angles, calorie, cardio, cardio-plp, comf:handlebar adjustment:up/down, comf:pedal type:self leveling/non-slip, comf:seat adjustment:forward/back, comf:seat dimensions:11.4L x 7.5W x 1.6H in, conv:foldable:yes, conv:folded product dimensions:11.4L x 19.3W x 55.7H in, conv:product dimensions: 45.3L x 19.3W x 50H in, conv:product weight:27.3 lb, conv:ship dimensions:44L x 8.3W x 7.9H in, conv:ship weight:31.3 lb, conv:warranty:1 year structural frame+180 days other parts and components, count, cross-sell:row-n-ride, Delivery:3-7, engr:color options:Silver / Green / Pink, engr:max user weight:220 lb, engr:tension system:elastic cord, Exercise Machine US, Family:Row-N-Ride, Google Shopping, mat:s, max user weight range:200 lb - 249 lb, NO. 077S, None_financing, over-10, PLP-home-cardio-equipment, PLP-row-n-ride, PLP-rower, PLP-strength-more, PLP-strength-rnr, price:Under $200, row-n-ride, Rower, shipping:free, Strength, tech:digital monitor:Calories+Count+Time+Total Count+Scan, tech:resistance levels:3, Tier:Classic, Top Seller, total count, under-200, YGroup_RowNRideClassic",SportGear,Sporting Goods > Fitness & General Exercise Equipment > Cardio > Cardio Machines > Treadmills,Dumbbells,sports,TRUE,Medium,#upright-row-n-ride®-rowing-machine,shopify,9999,https://sunnyhealthfitness.com/cdn/shop/products/SUNNY-_1_ba46bf51-5826-4a09-8b27-997728bd2b31_600x.jpg?v=1726858247,122.93,,
Synergy Exercise Bike Stationary Indoor Cycling,"1879, addfeatures:built-in monitor, addfeatures:dumbbell holder, addfeatures:pulse monitor, belt-drive, bike-resistance-magnetic, built-in-monitor, cardio, Clearance, comf:bottle holder:yes, comf:dumbbell holder:yes, comf:handlebar adjustment:up/down, comf:inseam adjustment:Min 27 in/Max 37.5 in, comf:pedal type:caged, comf:seat adjustment:up/down & forward/back, comf:seat dimensions:10.5L x 7W x 1.5H in, comf:seat to handlebar distance:Min 16 in/Max 20.5 in, comf:transportation wheels:yes, conv:product dimensions:49L x 22W x 50.5H in, conv:product weight:88.2  lb, conv:ship dimensions:41.5L x 10W x 34.6H In, conv:ship weight:102.5 lb, conv:warranty:3 year structural frame+180 days other parts and components, cross-sell:cadence-free, cross-sell:cadence-free-synergy, cycling, Delivery:3-7, dumbbell-holder, engr:drive mechanism:belt drive, engr:emergency stop brake:yes, engr:floor stabilizers:yes, engr:max user weight:275 lb, engr:q-factor:203mm, engr:tension system:magnetic, Exclusive, Exercise Bikes, Exercise Machine US, FALL24, Family:Synergy Bikes, features-pulse-monitor, Financing, financing-eligible, flywheel weight range:30 lb – 39 lb, Google Shopping, inseam max:36.5 in - 38 in, inseam min:25.5 in - 27 in, Limited Offer, mat:s, max user weight range:250 lb - 299 lb, over-10, paymentplan:financing, PLP-bike, PLP-cardio-bike, PLP-home-cardio-equipment, price:$400 to $600, SF-B1879, shipping:free, tech:device holder:yes, tech:digital monitor:Calories+Distance+Odometer+Pulse+RPM+Speed+Time+Scan, tech:flywheel weight:30 lb, tech:pulse sensor:yes, tech:resistance levels:micro-adjustable, Tier:Classic, YGroup_Synergy",FitWorld,Sporting Goods > Fitness & General Exercise Equipment > Cardio > Cardio Machines > Treadmills,Yoga Mat,sports,TRUE,Small,#synergy-exercise-bike-stationary-indoor-cycling,shopify,49999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-bikes-synergy-magnetic-indoor-cycling-bike-SF-B1879-01_4daae0c3-7602-49e3-8684-3edcd0cec7d3_600x.jpg?v=1613076205,273.52,,
Synergy Pro Magnetic Indoor Cycling Bike,"1851, addfeatures:built-in monitor, addfeatures:clip-in pedals, addfeatures:dumbbell holder, addfeatures:pulse monitor, belt-drive, bike-resistance-magnetic, built-in-monitor, cardio, Clearance, comf:bottle holder:yes, comf:dumbbell holder:yes, comf:handlebar adjustment:up/down, comf:inseam adjustment:Min 29 in/Max 39.5 in, comf:pedal type:clip-in/caged, comf:seat adjustment:up/down & forward/back, comf:seat dimensions:10.5L x 7W x 1.5H in, comf:seat to handlebar distance:Min 15.5 in/Max 19.5 in, comf:transportation wheels:yes, conv:product dimensions:49L x 22W x 46.5H in, conv:product weight:111.3 lb, conv:ship dimensions:41.5L x 10W x 34.6H In, conv:ship weight:125.9 lb, conv:warranty:3 year structural frame+180 days other parts and components, cross-sell:bike accessories, cross-sell:cadence-free, cross-sell:cadence-free-synergy, cycling, Delivery:3-7, dumbbell-holder, engr:drive mechanism:belt drive, engr:emergency stop brake:yes, engr:floor stabilizers:yes, engr:max user weight:300 lb, engr:q-factor:200mm, engr:tension system:magnetic, Exclusive, Exercise Bikes, Exercise Machine US, FALL24, Family:Synergy Bikes, features-pulse-monitor, features-spd-compatible-pedals, Financing, financing-eligible, flywheel weight range:40 lb +, Google Shopping, inseam max:38.5 in - 40 in, inseam min:27.5 in - 29 in, Limited Offer, mat:s, max user weight range:300 lb - 349 lb, over-10, paymentplan:financing, PLP-bike, PLP-cardio-bike, PLP-home-cardio-equipment, price:$400 to $600, Resistance Type:Magnetic, SF-B1851, shipping:free, tech:device holder:yes, tech:digital monitor:Avg Cadence+Cadence+Calories+Avg Speed+Distance (Miles Or Kilometers)+Max Cadence+Max Speed+Pulse+Race+Speed+Target Distance+Target Time+Time, tech:flywheel weight:40 lb, tech:pulse sensor:yes, tech:resistance levels:micro-adjustable, Tier:Pro, YGroup_Synergy",FitWorld,Sporting Goods > Exercise & Fitness > Yoga & Pilates,Dumbbells,outdoor,TRUE,Small,#synergy-pro-magnetic-indoor-cycling-bike,shopify,64999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-bikes-synergy-pro-magnetic-indoor-cycling-bike-SF-B1851-01_600x.jpg?v=1642627886,290.09,,
Magnetic Recumbent Exercise Bike,"4905, addfeatures:pulse monitor, belt-drive, bis-hidden, bis-paused, comf:inseam adjustment:Min 30 in/Max 38 in, comf:pedal type:non-slip w/ adjustable strap, comf:seat adjustment:forward/back, comf:seat dimensions:15L x 11W x 1.5H in, comf:seat type:ergonomic, comf:transportation wheels:yes, conv:product dimensions:56L x 25W x 41H in, conv:product weight:57.7 lb, conv:ship dimensions:46.7L x 9.6W x 22.6H in, conv:ship weight:66.3 lb, conv:warranty:3 year structural frame+180 days other parts and components, cross-sell:cadence-free, Delivery:3-7, DISCO-OOS, engr:floor stabilizers:yes, engr:max user weight:240 lb, engr:seat height:Min 19.29 in/20.87 in, engr:tension system:magnetic, Exclusive, Exercise Bikes, Exercise Machine US, features-pulse-monitor, Google Shopping, inseam max:36.5 in - 38 in, inseam min:29.5 in - 31 in, mat:m, max user weight range:200 lb - 249 lb, over-10, price:$200 to $400, rec-excl, SF-RB4905, tech:device holder:yes, tech:digital monitor:Calorie+Distance+Odometer+Pulse+Speed+Time+Scan, tech:pulse sensor:yes, tech:resistance levels:8",FitWorld,Sporting Goods > Fitness & General Exercise Equipment > Cardio > Cardio Machines > Treadmills,Soccer Ball,strength training,TRUE,Large,#magnetic-recumbent-exercise-bike,shopify,18999,https://sunnyhealthfitness.com/cdn/shop/products/SHF_SF-RB4905-Recumbent_1_600x.jpg?v=1629307743,157.19,,
Stationary Cross Trainer Recumbent Bike with Arms Exerciser,"4936, addfeatures:pulse monitor, arm-exercisers, belt-drive, cardio, comf:inseam adjustment:Min 24 in/Max 32 in, comf:pedal type:non-slip w/ adjustable strap, comf:seat adjustment:forward/back, comf:seat dimensions:12L x 16.5 x 2H in, comf:seat type:ergonomic, comf:transportation wheels:yes, conv:product dimensions:60L x 26.5W x 46.5H in, conv:product weight:69 lb, conv:ship dimensions:55.2L x 11.2W x 22.8H in, conv:ship weight:83.3 lb, conv:warranty:3 year structural frame+180 days other parts and components, cross-sell:cadence-offer, Delivery:3-7, engr:arm exercisers:yes, engr:floor stabilizers:yes, engr:max user weight:265 lb, engr:seat height:Min 19.5 in/21 in, engr:tension system:magnetic, Exclusive, Exercise Bikes, Exercise Machine US, features-pulse-monitor, Financing, financing-eligible, Google Shopping, inseam min:23.5 in - 25 in, Limited Offer, mat:m, max user weight range:250 lb - 299 lb, None_financing, over-10, paymentplan:financing, PLP-cardio-bike, PLP-home-cardio-equipment, PLP-recumbent-bike, price:$200 to $400, recumbent, SF-RB4936, shipping:free, tech:device holder:yes, tech:digital monitor:Calorie+Distance+Odometer+Pulse+Speed+Time+Scan, tech:pulse sensor:yes, tech:resistance levels:8",SportGear,Sporting Goods > Athletics > Soccer > Soccer Balls,Basketball,strength training,TRUE,Small,#stationary-cross-trainer-recumbent-bike-with-arms-exerciser,shopify,36999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-bikes-cross-trainer-magnetic-recumbent-bike-arm-exercisers-SF-RB4936-01_600x.jpg?v=1599541592,100.3,,
Belt Drive Indoor Cycling Bike with 49 LB Flywheel,"1002, belt-drive, bike-resistance-leather-pad, cardio, comf:bottle holder:yes, comf:handlebar adjustment:up/down, comf:inseam adjustment:Min 31 in/Max 42 in, comf:pedal type:caged, comf:seat adjustment:up/down & forward/back, comf:seat dimensions:10L x 7W x 2.5H in, comf:seat to handlebar distance:Min 18 in/Max 23 in, comf:transportation wheels:yes, conv:product dimensions:53.94L x 19.1W x 44.49H in, conv:product weight:110.8 lb, conv:ship dimensions:40.6L x 9.5W x 34.7H In, conv:ship weight:123.3 lb, conv:warranty:3 year structural frame+180 days other parts and components, cross-sell:cadence-free, cycling, Delivery:3-7, engr:drive mechanism:belt drive, engr:emergency stop brake:yes, engr:floor stabilizers:yes, engr:max user weight:275 lb, engr:q-factor:204mm, engr:tension system:leather pad, Exercise Bikes, Exercise Machine US, Financing, financing-eligible, flywheel weight range:40 lb +, Google Shopping, inseam max:40.5 in - 42 in, inseam min:29.5 in - 31 in, mat:m, max user weight range:250 lb - 299 lb, over-10, paymentplan:financing, PLP-bike, PLP-cardio-bike, PLP-home-cardio-equipment, price:$200 to $400, SF-B1002, shipping:free, tech:flywheel weight:49 lb, tech:resistance levels:micro-adjustable, Top Seller",FitWorld,Sporting Goods > Athletics > Basketball > Basketballs,Yoga Mat,strength training,TRUE,Small,#belt-drive-indoor-cycling-bike-with-49-lb-flywheel,shopify,36999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-bikes-belt-drive-indoor-cycling-bike-SF-B1002-01_600x.jpg?v=1691775342,173.86,,
Magnetic Rowing Machine w/ LCD Monitor,"5515, cardio, comf:pedal type:non-slip w/ adjustable strap, comf:seat dimensions:11L x 14W x 2H in, comf:seat height:Min 10.1 in/Max 11.7 in, comf:transportation wheels:yes, conv:foldable:yes, conv:folded product dimensions:43.3L x 18.9W x 52.4H in, conv:product dimensions:89L x 18.9W x 23.6H in, conv:product weight:60.9 lb, conv:ship dimensions:50.6L x 9.8W x 26H In, conv:ship weight:70.8 lb, conv:warranty:3 year structural frame+180 days other parts and components, Delivery:3-7, engr:floor stabilizers:yes, engr:max user weight:250 lb, engr:slide rail inseam:48.4 in, engr:slide rail length:53.4 in, engr:slide rail material:Steel, engr:tension system:magnetic, Exercise Machine US, Family:Smart RW, Google Shopping, inseam max:48 in - 49.5 in, magnetic, mat:l, max user weight range:250 lb - 299 lb, max-inseam-40-in-49-in, None_financing, over-10, PLP-home-cardio-equipment, PLP-magnetic-rowers, PLP-rower, price:$200 to $400, Rower, rower-tension-system-magnetic, SF-RW5515, shipping:free, tech:digital monitor:Calories+Count+Time+Total Count+Scan, tech:resistance levels:8, Tier:Classic, Top Seller, YGroup_RW5515",ActiveLifestyle,Sporting Goods > Outdoor Recreation > Camping & Hiking > Tents,Tent,cardio,TRUE,Small,#magnetic-rowing-machine-w/-lcd-monitor,shopify,25999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-rowers-magnetic-rowing-machine-SF-RW5515-01_600x.jpg?v=1632353188,143.18,,
Indoor Cycling Bike Magnetic Belt Drive  w/ High Weight Capacity and Device Holder,"1805, belt-drive, bike-resistance-magnetic, cardio, comf:bottle holder:yes, comf:handlebar adjustment:up/down & forward/back, comf:inseam adjustment:Min 28 in/Max 38 in, comf:pedal type:caged, comf:seat adjustment:up/down & forward/back, comf:seat dimensions:10L x 8W x 3H in, comf:seat to handlebar distance:Min 17 in/Max 21 in, comf:transportation wheels:yes, conv:product dimensions:48L x 23W x 45H in, conv:product weight:125.7 lb, conv:ship dimensions:41.5L x 9.8W x 34.7H In, conv:ship weight:139 lb, conv:warranty:3 year structural frame+180 days other parts and components, cross-sell:cadence-offer, cycling, Delivery:3-7, engr:drive mechanism:belt drive, engr:emergency stop brake:yes, engr:floor stabilizers:yes, engr:max user weight:300 lb, engr:q-factor:182mm, engr:tension system:magnetic, Exercise Bikes, Exercise Machine US, Financing, financing-eligible, flywheel weight range:40 lb +, Google Shopping, inseam max:36.5 in - 38 in, inseam min:27.5 in - 29 in, mat:s, max user weight range:300 lb - 349 lb, over-10, paymentplan:financing, PLP-bike, PLP-cardio-bike, PLP-home-cardio-equipment, price:$400 to $600, Sale, SF-B1805, shipping:free, tech:device holder:yes, tech:flywheel weight:44 lb, tech:resistance levels:micro-adjustable, Top Seller",FitnessPro,Sporting Goods > Athletics > Soccer > Soccer Balls,Soccer Ball,strength training,TRUE,Large,#indoor-cycling-bike-magnetic-belt-drive--w/-high-weight-capacity-and-device-holder,shopify,49999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-bikes-magnetic-belt-drive-indoor-cycling-bike-high-weight-capacity-and-tablet-holder-SF-B1805-07_600x.jpg?v=1608752694,45.49,,
"Magnetic Recumbent Exercise Bike, 300 lb Capacity & Adjustable Seat","4616, addfeatures:pulse monitor, bis-hidden, bis-paused, comf:inseam adjustment:Min 29 in/Max 38 in, comf:pedal type:non-slip w/ adjustable strap, comf:seat adjustment:forward/back, comf:seat dimensions:11L x 14.5W x 1.5H in, comf:seat type:ergonomic, comf:transportation wheels:yes, conv:product dimensions:46L x 24.5W x 38H in, conv:product weight:58.7 lb, conv:ship dimensions:46.9L x 9.8W x 20.9H in, conv:ship weight:63.1 lb, conv:warranty:3 year structural frame+180 days other parts and components, Delivery:3-7, DISCO-OOS, engr:floor stabilizers:yes, engr:max user weight:300 lb, engr:seat height:Min 20.08 in/21.26 in, Exercise Bikes, Exercise Machine US, Family:Recumbent Bikes A, inseam max:36.5 in - 38 in, inseam min:27.5 in - 29 in, max user weight range:300 lb - 349 lb, None_financing, over-10, price:$200 to $400, rec-excl, SF-RB4616, tech:digital monitor:Calorie+Distance+Odometer+Pulse+Speed+Time+Scan, tech:pulse sensor:yes, tech:resistance levels:8, Tier:Standard, Top Seller, YGroup_RB4616",FitnessPro,Sporting Goods > Athletics > Soccer > Soccer Balls,Dumbbells,fitness,TRUE,Large,"#magnetic-recumbent-exercise-bike,-300-lb-capacity-&-adjustable-seat",shopify,29999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-bikes-magnetic-recumbent-exercise-bike-300lb-capacity-easy-adjustable-seat-SF-RB4616-01_600x.jpg?v=1587756044,44.5,,
Home Gym Floor Protector Mat for Fitness & Exercise Equipment,"comf:benefits:noise reduction+protects floor, comf:cleaning instructions:wipe w/ damp cloth, comf:cushioning:PVC foam, conv:product dimensions:NO. 074-XS (XSMALL) - 30L x 20W x 0.16H in / NO. 083 (SMALL) - 51L x 23.5W x 0.16H in / NO. 074-M (MED) - 79L x 35.5W x 0.16H in / NO. 074-L (LRG) - 90.5L x 39.5W x 0.16H in, conv:product weight:NO. 074-XS (XSMALL) – 1 lb / NO. 083 (SMALL) - 1.7 lb / NO. 074-M (MED) - 3.5 lb / NO. 074-L (LRG) - 5.1 lb, conv:ship dimensions:NO. 074-XS (XSMALL) - 20.7L x 2.8W x 2.8H in/ NO. 083 (SMALL) - 4.7L x 4.7W x 24H in / NO. 074-M (MED) - 36L x 5W x 5H in / NO. 074-L (LRG) - 40L x 5W x 5H in, conv:ship weight: NO. 074-XS (XSMALL) - 1.4 lb / NO. 083 (SMALL) - 2.8 lb / NO. 074-M (MED) - 4 lb / NO. 074-L (LRG) - 5.7 lb, conv:warranty:1 year structural frame, Delivery:3-7, engr:color options:Black, engr:foldable:Easily rolls up for storage, engr:multifunctional:can be used as floor protector or exercise mat, engr:what's included: 1 Mat, Exercise Machine US, Floor Mat, Google Shopping, None_financing, over-10, PLP-essential, PLP-essential-accessories, PLP-essential-accessories-cardio, price:Under $200, tech:design:Lightweight/Portable, tech:durability:Tear/sweat resistant, tech:surface:smooth+non-slip, under-200, YGroup_ExerciseMat",FitnessPro,Sporting Goods > Athletics > Soccer > Soccer Balls,Dumbbells,sports,TRUE,Medium,#home-gym-floor-protector-mat-for-fitness-&-exercise-equipment,shopify,2499,https://sunnyhealthfitness.com/cdn/shop/products/N0_074_1_a41101dd-55e8-4575-ba6c-d5421fdca39f_600x.jpg?v=1711043540,63.21,,
