id,title,description,category,price,brand,tags
P001,FitPro Home Gym Product 1,"An excellent home gym product by FitPro, perfect for enhancing your fitness journey.",Home Gym,29.33,FitPro,"dumbbells,weights,strength,training"
P002,TrackFit Strength Training Product 2,"An excellent strength training product by TrackFit, perfect for enhancing your fitness journey.",Strength Training,44.07,TrackFit,"protein,whey,muscle,recovery"
P003,FitPro Recovery Product 3,"An excellent recovery product by FitPro, perfect for enhancing your fitness journey.",Recovery,49.11,FitPro,"protein,whey,muscle,recovery"
P004,StrongCore Recovery Product 4,"An excellent recovery product by StrongCore, perfect for enhancing your fitness journey.",Recovery,51.39,StrongCore,"cardio,jump,rope,fitness"
P005,MuscleFuel Strength Training Product 5,"An excellent strength training product by MuscleFuel, perfect for enhancing your fitness journey.",Strength Training,18.39,MuscleFuel,"yoga,mat,workout,wellness"
P006,IronFit Recovery Product 6,"An excellent recovery product by IronFit, perfect for enhancing your fitness journey.",Recovery,47.65,IronFit,"kettlebell,weights,training,functional"
P007,TeaHouse Functional Training Product 7,"An excellent functional training product by TeaHouse, perfect for enhancing your fitness journey.",Functional Training,73.06,TeaHouse,"green tea,metabolism,weight loss,nutrition"
P008,StrongCore Strength Training Product 8,"An excellent strength training product by StrongCore, perfect for enhancing your fitness journey.",Strength Training,44.7,StrongCore,"resistance,strength,muscle,workout"
P009,StrongCore Functional Training Product 9,"An excellent functional training product by StrongCore, perfect for enhancing your fitness journey.",Functional Training,44.5,StrongCore,"protein,whey,muscle,recovery"
P010,StrongCore Recovery Product 10,"An excellent recovery product by StrongCore, perfect for enhancing your fitness journey.",Recovery,27.24,StrongCore,"fitness tracker,wearable,heart rate,steps"
P011,StrongCore Cardio Product 11,"An excellent cardio product by StrongCore, perfect for enhancing your fitness journey.",Cardio,95.63,StrongCore,"dumbbells,weights,strength,training"
P012,TrackFit Wearables Product 12,"An excellent wearables product by TrackFit, perfect for enhancing your fitness journey.",Wearables,20.88,TrackFit,"dumbbells,weights,strength,training"
P013,FitPro Strength Training Product 13,"An excellent strength training product by FitPro, perfect for enhancing your fitness journey.",Strength Training,41.61,FitPro,"fitness tracker,wearable,heart rate,steps"
P014,TrackFit Wearables Product 14,"An excellent wearables product by TrackFit, perfect for enhancing your fitness journey.",Wearables,99.01,TrackFit,"green tea,metabolism,weight loss,nutrition"
P015,TrackFit Wearables Product 15,"An excellent wearables product by TrackFit, perfect for enhancing your fitness journey.",Wearables,41.2,TrackFit,"green tea,metabolism,weight loss,nutrition"
P016,FitPro Yoga & Wellness Product 16,"An excellent yoga & wellness product by FitPro, perfect for enhancing your fitness journey.",Yoga & Wellness,13.87,FitPro,"pre-workout,energy,performance,nutrition"
P017,TrackFit Recovery Product 17,"An excellent recovery product by TrackFit, perfect for enhancing your fitness journey.",Recovery,39.62,TrackFit,"yoga,mat,workout,wellness"
P018,MuscleFuel Functional Training Product 18,"An excellent functional training product by MuscleFuel, perfect for enhancing your fitness journey.",Functional Training,18.31,MuscleFuel,"green tea,metabolism,weight loss,nutrition"
P019,IronFit Home Gym Product 19,"An excellent home gym product by IronFit, perfect for enhancing your fitness journey.",Home Gym,67.34,IronFit,"foam roller,recovery,massage,fitness"
